iter	Passed	Remaining
0	180	180121
1	182	91047
2	184	61198
3	186	46397
4	187	37380
5	189	31344
6	190	27044
7	191	23804
8	193	21295
9	194	19289
10	195	17604
11	196	16198
12	197	15017
13	198	14001
14	199	13132
15	201	12364
16	202	11696
17	203	11119
18	205	10605
19	207	10146
20	208	9716
21	209	9335
22	211	8995
23	213	8678
24	214	8361
25	215	8067
26	216	7792
27	217	7544
28	218	7312
29	219	7101
30	221	6911
31	222	6732
32	224	6568
33	225	6415
34	227	6267
35	228	6126
36	230	5994
37	231	5870
38	232	5739
39	233	5614
40	234	5492
41	236	5384
42	237	5296
43	239	5201
44	240	5109
45	241	5014
46	242	4920
47	243	4838
48	245	4766
49	247	4695
50	248	4628
51	250	4559
52	251	4496
53	253	4436
54	254	4375
55	255	4309
56	256	4249
57	258	4197
58	260	4147
59	261	4100
60	263	4054
61	264	4006
62	266	3961
63	267	3916
64	269	3874
65	270	3833
66	272	3794
67	273	3748
68	274	3704
69	275	3666
70	277	3629
71	279	3597
72	280	3562
73	281	3528
74	283	3492
75	284	3454
76	285	3424
77	286	3390
78	287	3354
79	289	3324
80	290	3297
81	292	3272
82	293	3237
83	294	3212
84	296	3188
85	297	3160
86	298	3131
87	299	3101
88	300	3073
89	301	3045
90	302	3019
91	303	2999
92	305	2979
93	306	2958
94	308	2938
95	309	2915
96	310	2893
97	311	2871
98	313	2849
99	314	2828
100	315	2805
101	316	2783
102	317	2761
103	318	2745
104	320	2728
105	321	2710
106	322	2694
107	324	2679
108	325	2664
109	327	2648
110	328	2632
111	330	2617
112	331	2604
113	333	2589
114	334	2575
115	336	2562
116	337	2546
117	339	2536
118	340	2521
119	341	2503
120	342	2486
121	343	2469
122	344	2454
123	345	2442
124	347	2431
125	348	2419
126	350	2406
127	351	2395
128	353	2384
129	354	2371
130	355	2359
131	357	2347
132	358	2337
133	359	2326
134	361	2315
135	362	2305
136	364	2296
137	366	2286
138	367	2276
139	369	2266
140	370	2257
141	371	2243
142	372	2233
143	373	2222
144	374	2210
145	375	2199
146	377	2187
147	378	2176
148	379	2166
149	380	2155
150	381	2145
151	382	2134
152	384	2125
153	385	2115
154	386	2105
155	387	2096
156	388	2088
157	390	2078
158	391	2069
159	392	2060
160	393	2049
161	394	2040
162	395	2032
163	397	2025
164	398	2017
165	400	2012
166	402	2005
167	403	1998
168	404	1991
169	406	1985
170	408	1979
171	409	1973
172	411	1965
173	412	1957
174	413	1949
175	414	1941
176	416	1935
177	417	1928
178	419	1922
179	420	1915
180	422	1910
181	423	1904
182	425	1897
183	426	1890
184	427	1883
185	429	1878
186	430	1871
187	431	1864
188	432	1856
189	433	1849
190	434	1842
191	436	1835
192	437	1828
193	438	1821
194	439	1815
195	440	1808
196	441	1801
197	443	1795
198	444	1788
199	445	1782
200	446	1775
201	448	1769
202	449	1763
203	450	1757
204	451	1751
205	452	1745
206	454	1739
207	455	1735
208	457	1729
209	458	1723
210	459	1717
211	460	1712
212	462	1707
213	463	1701
214	464	1695
215	465	1689
216	466	1683
217	467	1678
218	469	1672
219	471	1669
220	472	1665
221	473	1660
222	475	1655
223	476	1649
224	477	1643
225	478	1638
226	479	1633
227	480	1627
228	482	1623
229	483	1618
230	484	1613
231	486	1609
232	487	1604
233	488	1600
234	490	1596
235	491	1591
236	492	1586
237	493	1581
238	495	1576
239	496	1571
240	497	1567
241	499	1563
242	500	1559
243	501	1554
